"COCNUM","pop","CoC Name","CoC Category","Overall Homeless, 2022","homeless_ratio","is_king","class"
"AK-500",287145,"Anchorage CoC","Other Largely Urban CoC",1494,52,"FALSE","9"
"AK-501",414143,"Alaska Balance of State CoC","Largely Rural CoC",826,19.9,"FALSE","4"
"AL-500",989456,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Largely Suburban CoC",943,9.5,"FALSE","2"
"AL-501",657846,"Mobile City & County/Baldwin County CoC","Other Largely Urban CoC",585,8.9,"FALSE","2"
"AL-502",271968,"Florence/Northwest Alabama CoC","Largely Rural CoC",232,8.5,"FALSE","2"
"AL-503",638676,"Huntsville/North Alabama CoC","Other Largely Urban CoC",549,8.6,"FALSE","2"
"AL-504",226361,"Montgomery City & County CoC","Other Largely Urban CoC",278,12.3,"FALSE","3"
"AL-506",236780,"Tuscaloosa City & County CoC","Other Largely Urban CoC",40,1.7,"FALSE","1"
"AL-507",1509177,"Alabama Balance of State CoC","Largely Rural CoC",935,6.2,"FALSE","2"
"AR-500",609796,"Little Rock/Central Arkansas CoC","Other Largely Urban CoC",859,14.1,"FALSE","3"
"AR-501",605145,"Fayetteville/Northwest Arkansas CoC","Other Largely Urban CoC",343,5.7,"FALSE","2"
"AR-503",841818,"Arkansas  Balance of State  CoC","Largely Rural CoC",814,9.7,"FALSE","2"
"AR-505",278248,"Southeast Arkansas CoC","Largely Rural CoC",69,2.5,"FALSE","1"
"AZ-500",1750076,"Arizona Balance of State CoC","Largely Rural CoC",2300,13.1,"FALSE","3"
"AZ-501",1057597,"Tucson/Pima County CoC","Major City CoC",2227,21.1,"FALSE","5"
"AZ-502",4551524,"Phoenix, Mesa/Maricopa County CoC","Major City CoC",9026,19.8,"FALSE","4"
"CA-500",1870945,"San Jose/Santa Clara City & County CoC","Major City CoC",10028,53.6,"FALSE","9"
"CA-501",808437,"San Francisco CoC","Major City CoC",7754,95.9,"FALSE","9"
"CA-502",1628997,"Oakland, Berkeley/Alameda County CoC","Major City CoC",9747,59.8,"FALSE","9"
"CA-503",1584169,"Sacramento City & County CoC","Major City CoC",9278,58.6,"FALSE","9"
"CA-504",482650,"Santa Rosa, Petaluma/Sonoma County CoC","Other Largely Urban CoC",2893,59.9,"FALSE","9"
"CA-505",1156966,"Richmond/Contra Costa County CoC","Largely Suburban CoC",3093,26.7,"FALSE","6"
"CA-506",500437,"Salinas/Monterey, San Benito Counties CoC","Largely Rural CoC",2404,48,"FALSE","9"
"CA-507",256018,"Marin County CoC","Largely Suburban CoC",1121,43.8,"FALSE","9"
"CA-508",264370,"Watsonville/Santa Cruz City & County CoC","Largely Suburban CoC",2299,87,"FALSE","9"
"CA-509",89783,"Mendocino County CoC","Largely Rural CoC",830,92.4,"FALSE","9"
"CA-510",551275,"Turlock, Modesto/Stanislaus County CoC","Largely Suburban CoC",1857,33.7,"FALSE","7"
"CA-511",793229,"Stockton/San Joaquin County CoC","Largely Suburban CoC",2319,29.2,"FALSE","6"
"CA-512",729181,"Daly/San Mateo County CoC","Largely Suburban CoC",1808,24.8,"FALSE","5"
"CA-513",630525,"Visalia/Kings, Tulare Counties CoC","Largely Suburban CoC",1235,19.6,"FALSE","4"
"CA-514",1175446,"Fresno City & County/Madera County CoC","Major City CoC",4216,35.9,"FALSE","8"
"CA-515",520065,"Roseville, Rocklin/Placer County CoC","Largely Suburban CoC",750,14.4,"FALSE","3"
"CA-516",312655,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Largely Rural CoC",1837,58.8,"FALSE","9"
"CA-517",134300,"Napa City & County CoC","Other Largely Urban CoC",495,36.9,"FALSE","8"
"CA-518",448747,"Vallejo/Solano County CoC","Largely Suburban CoC",1179,26.3,"FALSE","6"
"CA-519",207303,"Chico, Paradise/Butte County CoC","Largely Rural CoC",1006,48.5,"FALSE","9"
"CA-520",290014,"Merced City & County CoC","Largely Suburban CoC",855,29.5,"FALSE","6"
"CA-521",222115,"Davis, Woodland/Yolo County CoC","Largely Suburban CoC",746,33.6,"FALSE","7"
"CA-522",135010,"Humboldt County CoC","Largely Rural CoC",1648,122.1,"FALSE","9"
"CA-523",66034,"Colusa, Glenn, Trinity Counties CoC","Largely Rural CoC",340,51.5,"FALSE","9"
"CA-524",182813,"Yuba City & County/Sutter County CoC","Largely Suburban CoC",1094,59.8,"FALSE","9"
"CA-525",192646,"El Dorado County CoC","Largely Suburban CoC",511,26.5,"FALSE","6"
"CA-526",159526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Largely Rural CoC",625,39.2,"FALSE","8"
"CA-527",65245,"Tehama County CoC","Largely Rural CoC",291,44.6,"FALSE","9"
"CA-529",68191,"Lake County CoC","Largely Rural CoC",339,49.7,"FALSE","9"
"CA-530",32886,"Alpine, Inyo, Mono Counties CoC","Largely Rural CoC",140,42.6,"FALSE","9"
"CA-600",9721138,"Los Angeles City & County CoC","Major City CoC",65111,67,"FALSE","9"
"CA-601",3276208,"San Diego City and County CoC","Major City CoC",8427,25.7,"FALSE","6"
"CA-602",3151184,"Santa Ana, Anaheim/Orange County CoC","Largely Suburban CoC",5718,18.1,"FALSE","4"
"CA-603",443837,"Santa Maria/Santa Barbara County CoC","Largely Suburban CoC",1962,44.2,"FALSE","9"
"CA-604",916108,"Bakersfield/Kern County CoC","Major City CoC",1603,17.5,"FALSE","4"
"CA-608",2473902,"Riverside City & County CoC","Largely Suburban CoC",3316,13.4,"FALSE","3"
"CA-609",2193656,"San Bernardino City & County CoC","Largely Suburban CoC",3333,15.2,"FALSE","4"
"CA-611",832605,"Oxnard, San Buenaventura/Ventura County CoC","Other Largely Urban CoC",2248,27,"FALSE","6"
"CA-613",178713,"Imperial County CoC","Largely Suburban CoC",1057,59.1,"FALSE","9"
"CA-614",282013,"San Luis Obispo County CoC","Largely Suburban CoC",1448,51.3,"FALSE","9"
"CO-500",1841113,"Colorado Balance of State CoC","Largely Rural CoC",1315,7.1,"FALSE","2"
"CO-503",3252355,"Metropolitan Denver CoC","Major City CoC",6884,21.2,"FALSE","5"
"CO-504",740567,"Colorado Springs/El Paso County CoC","Major City CoC",1406,19,"FALSE","4"
"DC-500",1343606,"District of Columbia CoC","Major City CoC",4410,32.8,"FALSE","7"
"DE-500",1018396,"Delaware Statewide CoC","Largely Suburban CoC",2369,23.3,"FALSE","5"
"FL-500",891411,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC","Largely Suburban CoC",1138,12.8,"FALSE","3"
"FL-501",1513301,"Tampa/Hillsborough County CoC","Largely Suburban CoC",1513,10,"FALSE","3"
"FL-502",961739,"St. Petersburg, Clearwater, Largo/Pinellas County CoC","Other Largely Urban CoC",1985,20.6,"FALSE","5"
"FL-503",787404,"Lakeland, Winterhaven/Polk County CoC","Largely Suburban CoC",506,6.4,"FALSE","2"
"FL-504",705897,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC","Largely Suburban CoC",865,12.3,"FALSE","3"
