"pop","NAME","state_abbreviation","homeless","homeless_ratio","class","is_wa"
5074296,"Alabama","AL",3752,7.4,"2","FALSE"
733583,"Alaska","AK",2320,31.6,"7","FALSE"
7359197,"Arizona","AZ",13553,18.4,"4","FALSE"
3045637,"Arkansas","AR",2459,8.1,"2","FALSE"
39029342,"California","CA",171521,43.9,"9","FALSE"
5839926,"Colorado","CO",10397,17.8,"4","FALSE"
3626205,"Connecticut","CT",2930,8.1,"2","FALSE"
1018396,"Delaware","DE",2369,23.3,"5","FALSE"
671803,"District of Columbia","DC",4410,65.6,"9","FALSE"
22244823,"Florida","FL",25959,11.7,"3","FALSE"
10912876,"Georgia","GA",10689,9.8,"2","FALSE"
1440196,"Hawaii","HI",5967,41.4,"9","FALSE"
1939033,"Idaho","ID",1998,10.3,"3","FALSE"
12582032,"Illinois","IL",9212,7.3,"2","FALSE"
6833037,"Indiana","IN",5449,8,"2","FALSE"
3200517,"Iowa","IA",2419,7.6,"2","FALSE"
2937150,"Kansas","KS",2196,7.5,"2","FALSE"
4512310,"Kentucky","KY",3984,8.8,"2","FALSE"
4590241,"Louisiana","LA",7373,16.1,"4","FALSE"
1385340,"Maine","ME",4411,31.8,"7","FALSE"
6164660,"Maryland","MD",5349,8.7,"2","FALSE"
6981974,"Massachusetts","MA",15507,22.2,"5","FALSE"
10034113,"Michigan","MI",8206,8.2,"2","FALSE"
5717184,"Minnesota","MN",7917,13.8,"3","FALSE"
2940057,"Mississippi","MS",1196,4.1,"1","FALSE"
6177957,"Missouri","MO",6193,10,"3","FALSE"
1122867,"Montana","MT",1585,14.1,"3","FALSE"
1967923,"Nebraska","NE",2246,11.4,"3","FALSE"
3177772,"Nevada","NV",7618,24,"5","FALSE"
1395231,"New Hampshire","NH",1605,11.5,"3","FALSE"
9261699,"New Jersey","NJ",8752,9.4,"2","FALSE"
2113344,"New Mexico","NM",2560,12.1,"3","FALSE"
19677151,"New York","NY",74178,37.7,"8","FALSE"
10698973,"North Carolina","NC",9382,8.8,"2","FALSE"
779261,"North Dakota","ND",610,7.8,"2","FALSE"
11756058,"Ohio","OH",10654,9.1,"2","FALSE"
4019800,"Oklahoma","OK",3754,9.3,"2","FALSE"
4240137,"Oregon","OR",17959,42.4,"9","FALSE"
12972008,"Pennsylvania","PA",12691,9.8,"2","FALSE"
1093734,"Rhode Island","RI",1577,14.4,"3","FALSE"
5282634,"South Carolina","SC",3608,6.8,"2","FALSE"
909824,"South Dakota","SD",1389,15.3,"4","FALSE"
7051339,"Tennessee","TN",10567,15,"4","FALSE"
30029572,"Texas","TX",24432,8.1,"2","FALSE"
3380800,"Utah","UT",3557,10.5,"3","FALSE"
647064,"Vermont","VT",2780,43,"9","FALSE"
8683619,"Virginia","VA",6529,7.5,"2","FALSE"
7785786,"Washington","WA",25211,32.4,"7","TRUE"
1775156,"West Virginia","WV",1375,7.7,"2","FALSE"
5892539,"Wisconsin","WI",4775,8.1,"2","FALSE"
581381,"Wyoming","WY",648,11.1,"3","FALSE"
3221789,"Pureto Rico","PR",2215,6.9,"2","FALSE"
